	Technique	Algorithm	Classifier	Seed	F1	F2	F3	F4	F5
238	AIF360	AdversarialDebiasing	AdversarialDebiasing	11	0.0186518223858815	0.0	1.0	0.9832402234636872	0.966973886328725
239	AIF360	PostProcessingMeta	PostProcessingMeta	11	0.0206272539927872	0.0280112044817927	0.9776892430278884	0.9637163694163297	0.966973886328725
240	Voting		VotingClassifier	12	0.0239860390079158	0.0	1.0	0.9733333333333332	0.969242902208202
241	Fairlearn	false_positive_rate_parity	VotingClassifier	12	0.0479636949202166	0.0	1.0	0.9573333333333331	0.9582018927444794
242	Fairlearn	true_positive_rate_parity	VotingClassifier	12	0.0239860390079158	0.0	1.0	0.9733333333333332	0.969242902208202
243	Fairlearn	equalized_odds	VotingClassifier	12	0.0941347337642351	0.0	1.0	0.9106666666666668	0.9211356466876972
244	scikit-lego	DemographicParityClassifier	OneVsRestClassifier	12	0.0239860390079158	0.0	1.0	0.9733333333333332	0.969242902208202
245	scikit-lego	EqualOpportunityClassifier	OneVsRestClassifier	12	0.0239860390079158	0.0	1.0	0.9733333333333332	0.969242902208202
246	Proposal	nsga2	FairVotingClassifier	12	0.0238966427763108	0.0016778523489933	0.9992038216560508	0.9733333333333332	0.9684390436873016
247	ProposalWeighted	F1_nsga2	FairVotingClassifier	12	0.0238069752359604	0.0033500837520937	0.998407643312102	0.9733333333333332	0.9676351851664012
248	ProposalWeighted	F2_nsga2	FairVotingClassifier	12	0.0243318204740292	0.0028089887640448	0.998407643312102	0.9710708898944194	0.969242902208202
249	ProposalWeighted	F3_nsga2	FairVotingClassifier	12	0.0238069752359604	0.0033500837520937	0.998407643312102	0.9733333333333332	0.9676351851664012
250	ProposalWeighted	F4_nsga2	FairVotingClassifier	12	0.0238966427763108	0.0016778523489933	0.9992038216560508	0.9733333333333332	0.9684390436873016
251	ProposalWeighted	F5_nsga2	FairVotingClassifier	12	0.0239860390079158	0.0	1.0	0.9733333333333332	0.969242902208202
