Technique	variable	value
Fairlearn, false_positive_rate_parity	F5	0.6838942307692308
Fairlearn, false_positive_rate_parity	F5	0.5952747817154598
Fairlearn, false_positive_rate_parity	F5	0.6483050847457626
Fairlearn, false_positive_rate_parity	F5	0.6174136321195145
Fairlearn, false_positive_rate_parity	F5	0.7186781609195402
Fairlearn, false_positive_rate_parity	F5	0.5894815553339979
Fairlearn, true_positive_rate_parity	F5	0.6319073083778968
Fairlearn, true_positive_rate_parity	F5	0.6488095238095237
Fairlearn, true_positive_rate_parity	F5	0.6439393939393938
Fairlearn, true_positive_rate_parity	F5	0.6091617933723197
Fairlearn, true_positive_rate_parity	F5	0.6238828202581926
Fairlearn, true_positive_rate_parity	F5	0.5526737967914438
Fairlearn, true_positive_rate_parity	F5	0.7330827067669173
Fairlearn, true_positive_rate_parity	F5	0.6309523809523809
Fairlearn, true_positive_rate_parity	F5	0.7133740288568258
Fairlearn, true_positive_rate_parity	F5	0.6897058823529412
Fairlearn, true_positive_rate_parity	F5	0.6332035595105674
Fairlearn, true_positive_rate_parity	F5	0.5973473473473473
Fairlearn, true_positive_rate_parity	F5	0.6513661202185793
Fairlearn, true_positive_rate_parity	F5	0.657624633431085
Fairlearn, true_positive_rate_parity	F5	0.6890989988876529
Fairlearn, true_positive_rate_parity	F5	0.6274509803921569
Fairlearn, true_positive_rate_parity	F5	0.7386984600099354
Fairlearn, true_positive_rate_parity	F5	0.7111111111111112
Fairlearn, true_positive_rate_parity	F5	0.605121293800539
Fairlearn, true_positive_rate_parity	F5	0.7092896174863387
Fairlearn, true_positive_rate_parity	F5	0.6387789711701526
Fairlearn, true_positive_rate_parity	F5	0.6547131147540983
Fairlearn, true_positive_rate_parity	F5	0.703150912106136
Fairlearn, true_positive_rate_parity	F5	0.5277777777777778
Fairlearn, true_positive_rate_parity	F5	0.6418269230769231
Fairlearn, true_positive_rate_parity	F5	0.6055469953775039
Fairlearn, true_positive_rate_parity	F5	0.5819209039548022
Fairlearn, true_positive_rate_parity	F5	0.5903361344537815
Fairlearn, true_positive_rate_parity	F5	0.6663793103448277
Fairlearn, true_positive_rate_parity	F5	0.5413758723828515
Proposal, nsga2	F5	0.661319073083779
Proposal, nsga2	F5	0.7043650793650793
Proposal, nsga2	F5	0.6783216783216782
Proposal, nsga2	F5	0.6530214424951266
Proposal, nsga2	F5	0.5657894736842105
Proposal, nsga2	F5	0.5933155080213904
Proposal, nsga2	F5	0.7330827067669173
Proposal, nsga2	F5	0.5952380952380952
Proposal, nsga2	F5	0.7081021087680355
Proposal, nsga2	F5	0.6816176470588236
Proposal, nsga2	F5	0.6223581757508343
Proposal, nsga2	F5	0.6784284284284284
Proposal, nsga2	F5	0.6683060109289617
Proposal, nsga2	F5	0.7372922776148582
Proposal, nsga2	F5	0.704115684093437
Proposal, nsga2	F5	0.6593137254901962
Proposal, nsga2	F5	0.7538499751614505
Proposal, nsga2	F5	0.7444444444444445
Proposal, nsga2	F5	0.6408355795148248
Proposal, nsga2	F5	0.7590163934426231
Proposal, nsga2	F5	0.6314301865460713
Proposal, nsga2	F5	0.7164446721311475
Proposal, nsga2	F5	0.6753731343283582
Proposal, nsga2	F5	0.5694444444444444
Proposal, nsga2	F5	0.6875
Proposal, nsga2	F5	0.5988700564971752
Proposal, nsga2	F5	0.6652542372881356
Proposal, nsga2	F5	0.6265172735760971
Proposal, nsga2	F5	0.7186781609195402
Proposal, nsga2	F5	0.5894815553339979
Proposal, rnsga2	F5	0.6532976827094474
Proposal, rnsga2	F5	0.7123015873015872
Proposal, rnsga2	F5	0.6631701631701631
Proposal, rnsga2	F5	0.672514619883041
Proposal, rnsga2	F5	0.6745283018867925
Proposal, rnsga2	F5	0.6171122994652407
Proposal, rnsga2	F5	0.6418546365914787
Proposal, rnsga2	F5	0.623015873015873
Proposal, rnsga2	F5	0.728079911209767
Proposal, rnsga2	F5	0.7044117647058824
Proposal, rnsga2	F5	0.6395995550611792
Proposal, rnsga2	F5	0.6649149149149148
Proposal, rnsga2	F5	0.6683060109289617
Proposal, rnsga2	F5	0.7297165200391006
Proposal, rnsga2	F5	0.6879866518353727
Proposal, rnsga2	F5	0.6911764705882353
Proposal, rnsga2	F5	0.7690014903129656
Proposal, rnsga2	F5	0.736111111111111
Proposal, rnsga2	F5	0.6839622641509434
Proposal, rnsga2	F5	0.7674863387978141
Proposal, rnsga2	F5	0.6758055398530243
Proposal, rnsga2	F5	0.7297643442622951
Proposal, rnsga2	F5	0.689262023217247
Proposal, rnsga2	F5	0.625
Proposal, rnsga2	F5	0.7259615384615384
Proposal, rnsga2	F5	0.6037493579866462
Proposal, rnsga2	F5	0.6398305084745762
Proposal, rnsga2	F5	0.603874883286648
Proposal, rnsga2	F5	0.6431034482758621
Proposal, rnsga2	F5	0.5583250249252243
Proposal, F1_nsga2	F5	0.6528520499108734
Proposal, F1_nsga2	F5	0.6964285714285714
Proposal, F1_nsga2	F5	0.6707459207459207
Proposal, F1_nsga2	F5	0.6530214424951266
Proposal, F1_nsga2	F5	0.6390268123138034
Proposal, F1_nsga2	F5	0.6227272727272727
Proposal, F1_nsga2	F5	0.718796992481203
Proposal, F1_nsga2	F5	0.6428571428571429
Proposal, F1_nsga2	F5	0.7092119866814651
Proposal, F1_nsga2	F5	0.6595588235294119
Proposal, F1_nsga2	F5	0.6557285873192435
Proposal, F1_nsga2	F5	0.6784284284284284
Proposal, F1_nsga2	F5	0.6683060109289617
Proposal, F1_nsga2	F5	0.754398826979472
Proposal, F1_nsga2	F5	0.7138487208008899
Proposal, F1_nsga2	F5	0.6605392156862745
Proposal, F1_nsga2	F5	0.7399403874813711
Proposal, F1_nsga2	F5	0.7527777777777778
Proposal, F1_nsga2	F5	0.6839622641509434
Proposal, F1_nsga2	F5	0.7756830601092896
Proposal, F1_nsga2	F5	0.6314301865460713
Proposal, F1_nsga2	F5	0.7082479508196721
Proposal, F1_nsga2	F5	0.6753731343283582
Proposal, F1_nsga2	F5	0.5694444444444444
Proposal, F1_nsga2	F5	0.7373798076923077
Proposal, F1_nsga2	F5	0.620698510529019
Proposal, F1_nsga2	F5	0.6567796610169492
Proposal, F1_nsga2	F5	0.6265172735760971
Proposal, F1_nsga2	F5	0.6597701149425288
Proposal, F1_nsga2	F5	0.6126620139581257
Proposal, F1_rnsga2	F5	0.6532976827094474
Proposal, F1_rnsga2	F5	0.7123015873015872
Proposal, F1_rnsga2	F5	0.6631701631701631
Proposal, F1_rnsga2	F5	0.672514619883041
Proposal, F1_rnsga2	F5	0.6613704071499503
Proposal, F1_rnsga2	F5	0.6171122994652407
Proposal, F1_rnsga2	F5	0.6791979949874687
Proposal, F1_rnsga2	F5	0.623015873015873
Proposal, F1_rnsga2	F5	0.728079911209767
Proposal, F1_rnsga2	F5	0.6992647058823529
Proposal, F1_rnsga2	F5	0.6482202447163515
Proposal, F1_rnsga2	F5	0.6649149149149148
Proposal, F1_rnsga2	F5	0.6765027322404371
Proposal, F1_rnsga2	F5	0.7619745845552296
Proposal, F1_rnsga2	F5	0.6879866518353727
Proposal, F1_rnsga2	F5	0.732843137254902
Proposal, F1_rnsga2	F5	0.7468951813214109
Proposal, F1_rnsga2	F5	0.736111111111111
Proposal, F1_rnsga2	F5	0.6755390835579516
Proposal, F1_rnsga2	F5	0.7674863387978141
Proposal, F1_rnsga2	F5	0.667608818541549
Proposal, F1_rnsga2	F5	0.7379610655737705
Proposal, F1_rnsga2	F5	0.6753731343283582
Proposal, F1_rnsga2	F5	0.6319444444444444
Proposal, F1_rnsga2	F5	0.7259615384615384
Proposal, F1_rnsga2	F5	0.5801232665639445
Proposal, F1_rnsga2	F5	0.6483050847457626
Proposal, F1_rnsga2	F5	0.611811391223156
Proposal, F1_rnsga2	F5	0.6681034482758621
Proposal, F1_rnsga2	F5	0.5583250249252243
Proposal, F2_nsga2	F5	0.6314616755793226
Proposal, F2_nsga2	F5	0.6964285714285714
Proposal, F2_nsga2	F5	0.6515151515151515
Proposal, F2_nsga2	F5	0.6530214424951266
Proposal, F2_nsga2	F5	0.653922542204568
Proposal, F2_nsga2	F5	0.5491978609625668
Proposal, F2_nsga2	F5	0.6791979949874687
Proposal, F2_nsga2	F5	0.628968253968254
Proposal, F2_nsga2	F5	0.7133740288568258
Proposal, F2_nsga2	F5	0.6617647058823529
Proposal, F2_nsga2	F5	0.6557285873192435
Proposal, F2_nsga2	F5	0.6151151151151152
Proposal, F2_nsga2	F5	0.6683060109289617
Proposal, F2_nsga2	F5	0.722140762463343
Proposal, F2_nsga2	F5	0.7127363737486095
Proposal, F2_nsga2	F5	0.6078431372549019
Proposal, F2_nsga2	F5	0.7620466964729259
Proposal, F2_nsga2	F5	0.7722222222222223
Proposal, F2_nsga2	F5	0.6314016172506739
Proposal, F2_nsga2	F5	0.7756830601092896
Proposal, F2_nsga2	F5	0.6314301865460713
Proposal, F2_nsga2	F5	0.7172131147540984
Proposal, F2_nsga2	F5	0.6817993366500829
Proposal, F2_nsga2	F5	0.625
Proposal, F2_nsga2	F5	0.703125
Proposal, F2_nsga2	F5	0.6037493579866462
Proposal, F2_nsga2	F5	0.6483050847457626
Proposal, F2_nsga2	F5	0.6174136321195145
Proposal, F2_nsga2	F5	0.7186781609195402
Proposal, F2_nsga2	F5	0.5667996011964108
Proposal, F2_rnsga2	F5	0.6532976827094474
Proposal, F2_rnsga2	F5	0.7123015873015872
Proposal, F2_rnsga2	F5	0.6631701631701631
Proposal, F2_rnsga2	F5	0.6539961013645225
Proposal, F2_rnsga2	F5	0.6745283018867925
Proposal, F2_rnsga2	F5	0.6171122994652407
Proposal, F2_rnsga2	F5	0.6418546365914787
Proposal, F2_rnsga2	F5	0.6150793650793651
Proposal, F2_rnsga2	F5	0.728079911209767
Proposal, F2_rnsga2	F5	0.6595588235294119
Proposal, F2_rnsga2	F5	0.6395995550611792
Proposal, F2_rnsga2	F5	0.6741741741741741
Proposal, F2_rnsga2	F5	0.6683060109289617
Proposal, F2_rnsga2	F5	0.7372922776148582
Proposal, F2_rnsga2	F5	0.6879866518353727
Proposal, F2_rnsga2	F5	0.6911764705882353
Proposal, F2_rnsga2	F5	0.7608047690014903
Proposal, F2_rnsga2	F5	0.7305555555555556
Proposal, F2_rnsga2	F5	0.6839622641509434
Proposal, F2_rnsga2	F5	0.7674863387978141
Proposal, F2_rnsga2	F5	0.6758055398530243
Proposal, F2_rnsga2	F5	0.7371926229508197
Proposal, F2_rnsga2	F5	0.6817993366500829
Proposal, F2_rnsga2	F5	0.638888888888889
Proposal, F2_rnsga2	F5	0.7259615384615384
Proposal, F2_rnsga2	F5	0.6273754494093478
Proposal, F2_rnsga2	F5	0.6483050847457626
Proposal, F2_rnsga2	F5	0.603874883286648
Proposal, F2_rnsga2	F5	0.6431034482758621
Proposal, F2_rnsga2	F5	0.5583250249252243
Proposal, F3_nsga2	F5	0.6314616755793226
Proposal, F3_nsga2	F5	0.6964285714285714
Proposal, F3_nsga2	F5	0.6363636363636364
Proposal, F3_nsga2	F5	0.6530214424951266
Proposal, F3_nsga2	F5	0.6876861966236345
