	Technique	Algorithm	Classifier	Seed	F1	F2	F3	F4	F5
62	Fairlearn	true_positive_rate_parity	VotingClassifier	3	0.0485604077696652	0.4768243050266564	0.9923664122137404	0.7839556691085074	0.705809237466626
63	Fairlearn	equalized_odds	VotingClassifier	3	0.0857399146625291	0.0851176855181431	0.9909784871616932	0.6963099814628199	0.7204762016614599
64	scikit-lego	DemographicParityClassifier	OneVsRestClassifier	3	0.0569979013868155	0.0002500710429099	0.9854267869535044	0.7677199720867844	0.7623806951197551
65	scikit-lego	EqualOpportunityClassifier	OneVsRestClassifier	3	0.0569979013868155	0.0002500710429099	0.9854267869535044	0.7677199720867844	0.7623806951197551
66	Proposal	nsga2	FairVotingClassifier	3	0.0399323181049069	0.0065790189106014	0.9680777238029148	0.8081364535513007	0.780114939828843
67	ProposalWeighted	F1_nsga2	FairVotingClassifier	3	0.0288453293648085	0.037280324923846	0.945176960444136	0.808288686891307	0.7422623102279222
68	ProposalWeighted	F2_nsga2	FairVotingClassifier	3	0.0495035164593641	0.0162772804894067	0.9868147120055516	0.7945784120456608	0.7813148396088287
69	ProposalWeighted	F3_nsga2	FairVotingClassifier	3	0.0288453293648085	0.037280324923846	0.945176960444136	0.808288686891307	0.7422623102279222
70	ProposalWeighted	F4_nsga2	FairVotingClassifier	3	0.0547591903233758	0.0139309975842669	0.9847328244274808	0.7720962847600402	0.7587653364025713
71	ProposalWeighted	F5_nsga2	FairVotingClassifier	3	0.0304339887643749	0.0523516237402015	0.9528105482303956	0.8054866207704636	0.7394416649049868
72	Proposal	rnsga2	FairVotingClassifier	3	0.0429216128597814	0.0120390378267992	0.9840388619014572	0.8087548873575074	0.7901663025861462
73	ProposalWeighted	F1_rnsga2	FairVotingClassifier	3	0.0429216128597814	0.0120390378267992	0.9840388619014572	0.8087548873575074	0.7901663025861462
74	ProposalWeighted	F2_rnsga2	FairVotingClassifier	3	0.0429216128597814	0.0120390378267992	0.9840388619014572	0.8087548873575074	0.7901663025861462
75	ProposalWeighted	F3_rnsga2	FairVotingClassifier	3	0.0443875263965576	0.0093716598593412	0.981263011797363	0.8087548873575074	0.7949972204605423
76	ProposalWeighted	F4_rnsga2	FairVotingClassifier	3	0.0432130559402893	0.0113803753860773	0.9833448993754336	0.808207819998213	0.7901663025861462
77	ProposalWeighted	F5_rnsga2	FairVotingClassifier	3	0.0429216128597814	0.0120390378267992	0.9840388619014572	0.8087548873575074	0.7901663025861462
78	AIF360	AdversarialDebiasing	AdversarialDebiasing	3	0.0600889023493818	0.0090968634014991	1.0	0.7870916080523068	0.8154738136064329
79	AIF360	PostProcessingMeta	PostProcessingMeta	3	0.0203238087940345	0.0022578475186988	0.9472588480222068	0.7849214347030942	0.6642042295977889
80	Voting		VotingClassifier	4	0.0320186132148071	0.0181890122064612	0.986476868327402	0.7896446439427577	0.7414506043538301
81	Fairlearn	false_positive_rate_parity	VotingClassifier	4	0.0181536294703053	0.1899562535857716	0.986476868327402	0.7896446439427577	0.6915371068596875
82	Fairlearn	true_positive_rate_parity	VotingClassifier	4	0.0255068431889795	0.3948791105525646	0.988612099644128	0.7891630257054804	0.6913024251733929
83	Fairlearn	equalized_odds	VotingClassifier	4	0.0431631863853727	0.1610114091890224	0.988612099644128	0.7489516250009869	0.7042778010519946
84	scikit-lego	DemographicParityClassifier	OneVsRestClassifier	4	0.0336535043054358	0.01336450022867	0.987188612099644	0.7730593059659379	0.7232171949913885
85	scikit-lego	EqualOpportunityClassifier	OneVsRestClassifier	4	0.0336535043054358	0.01336450022867	0.987188612099644	0.7730593059659379	0.7232171949913885
